Domain,IP,ASName
web-sdk.aptrinsic.com,35.190.35.221,GOOGLE
cdn.gradescope.com,18.238.49.67,AMAZON-02
gradescope-static-assets.s3.amazonaws.com8,52.92.152.185,AMAZON-02
cdn.gradescope.com7,18.238.49.7,AMAZON-02
gradescope-static-assets.s3.amazonaws.com2,52.92.160.185,AMAZON-02
cdn.gradescope.com29,18.238.49.7,AMAZON-02
cdn.gradescope.com35,18.238.49.17,AMAZON-02
cdn.gradescope.com57,18.238.49.67,AMAZON-02
cdn.gradescope.com15,18.238.49.7,AMAZON-02
gradescope-static-assets.s3.amazonaws.com1,52.92.208.41,AMAZON-02
cdn.gradescope.com11,18.238.49.35,AMAZON-02
cdn.gradescope.com36,18.238.49.7,AMAZON-02
cdn.gradescope.com24,18.238.49.17,AMAZON-02
googletagmanager.com,142.251.40.200,GOOGLE
cdn.gradescope.com37,18.238.49.67,AMAZON-02
cdn.gradescope.com39,18.238.49.35,AMAZON-02
gradescope-static-assets.s3.amazonaws.com3,52.218.181.59,AMAZON-02
cdn.gradescope.com9,18.238.49.17,AMAZON-02
gradescope-static-assets.s3.amazonaws.com9,52.92.206.41,AMAZON-02
cdn.gradescope.com33,18.238.49.7,AMAZON-02
cdn.gradescope.com3,18.238.49.67,AMAZON-02
cdn.gradescope.com1,18.238.49.7,AMAZON-02
cdn.turnitin.com2,18.238.49.109,AMAZON-02
static.turnitin.com,13.35.93.68,AMAZON-02
cdn.gradescope.com53,18.238.49.35,AMAZON-02
cdn.gradescope.com22,18.238.49.7,AMAZON-02
cdn.gradescope.com6,18.238.49.67,AMAZON-02
cdn.gradescope.com46,18.238.49.7,AMAZON-02
cdn.gradescope.com21,18.238.49.35,AMAZON-02
cdn.gradescope.com45,18.238.49.67,AMAZON-02
cdn.gradescope.com17,18.238.49.7,AMAZON-02
gradescope-static-assets.s3.amazonaws.com4,52.92.251.17,AMAZON-02
cdn.gradescope.com18,18.238.49.35,AMAZON-02
cdn.gradescope.com2,18.238.49.67,AMAZON-02
static.turnitin.com1,13.35.93.95,AMAZON-02
cdn.gradescope.com25,18.238.49.7,AMAZON-02
cdn.gradescope.com30,18.238.49.67,AMAZON-02
cdn.gradescope.com51,18.238.49.7,AMAZON-02
cdn.gradescope.com34,18.238.49.67,AMAZON-02
cdn.gradescope.com56,18.238.49.35,AMAZON-02
cdn.gradescope.com14,18.238.49.35,AMAZON-02
cdn.gradescope.com55,18.238.49.17,AMAZON-02
cdn.gradescope.com4,18.238.49.17,AMAZON-02
cdn.gradescope.com26,18.238.49.7,AMAZON-02
cdn.gradescope.com31,18.238.49.67,AMAZON-02
static.turnitin.com2,13.35.93.68,AMAZON-02
cdn.gradescope.com5,18.238.49.67,AMAZON-02
gradescope-static-assets.s3.amazonaws.com5,52.92.249.185,AMAZON-02
cdn.gradescope.com42,18.238.49.7,AMAZON-02
cdn.gradescope.com10,18.238.49.17,AMAZON-02
cdn.gradescope.com28,18.238.49.35,AMAZON-02
cdn.gradescope.com38,18.238.49.17,AMAZON-02
gradescope-static-assets.s3.amazonaws.com6,52.92.154.217,AMAZON-02
cdn.gradescope.com40,18.238.49.17,AMAZON-02
cdn.gradescope.com19,18.238.49.35,AMAZON-02
cdn.gradescope.com47,18.238.49.67,AMAZON-02
cdn.gradescope.com48,18.238.49.35,AMAZON-02
cdn.gradescope.com27,18.238.49.67,AMAZON-02
cdn.gradescope.com23,18.238.49.17,AMAZON-02
cdn.gradescope.com41,18.238.49.67,AMAZON-02
cdn.gradescope.com8,18.238.49.35,AMAZON-02
cdn.gradescope.com49,18.238.49.17,AMAZON-02
cdn.turnitin.com1,18.238.49.51,AMAZON-02
google-analytics.com,142.250.80.36,GOOGLE
cdn.gradescope.com32,18.238.49.17,AMAZON-02
cdn.gradescope.com16,18.238.49.17,AMAZON-02
cdn.gradescope.com12,18.238.49.67,AMAZON-02
cdn.gradescope.com54,18.238.49.35,AMAZON-02
cdn.gradescope.com13,18.238.49.17,AMAZON-02
cdn.gradescope.com50,18.238.49.17,AMAZON-02
gradescope-static-assets.s3.amazonaws.com,52.92.191.177,AMAZON-02
gradescope.com,54.214.141.92,AMAZON-02
accounts.google.com1,142.251.16.84,GOOGLE
static.licdn.com10,152.199.24.163,EDGECAST
linkedin.com2,13.107.42.14,MICROSOFT-CORP-MSN-AS-BLOCK
linkedin.com1,13.107.42.14,MICROSOFT-CORP-MSN-AS-BLOCK
fonts.gstatic.com,142.250.80.67,GOOGLE
static.licdn.com11,152.199.24.163,EDGECAST
ponf.linkedin.com,144.2.9.1,LINKEDIN
platform.linkedin.com,23.44.133.55,AKAMAI-ASN1
linkedin.com5,13.107.42.14,MICROSOFT-CORP-MSN-AS-BLOCK
static.licdn.com2,152.199.24.163,EDGECAST
static.licdn.com9,152.199.24.163,EDGECAST
