,Domain,IP,ASName
128,ssl.gstatic.com11,142.250.81.227,GOOGLE
129,ssl.gstatic.com29,142.250.81.227,GOOGLE
130,ssl.gstatic.com10,142.250.81.227,GOOGLE
131,ssl.gstatic.com40,142.250.81.227,GOOGLE
132,fonts.gstatic.com3,142.250.80.67,GOOGLE
133,ssl.gstatic.com15,142.250.81.227,GOOGLE
134,docs.google.com15,142.250.72.110,GOOGLE
135,ssl.gstatic.com35,142.250.81.227,GOOGLE
136,ssl.gstatic.com37,142.250.81.227,GOOGLE
137,gstatic.com2,142.251.32.99,GOOGLE
138,ssl.gstatic.com41,142.250.81.227,GOOGLE
139,play.google.com6,142.250.65.206,GOOGLE
140,ssl.gstatic.com3,142.250.81.227,GOOGLE
141,ssl.gstatic.com55,142.250.81.227,GOOGLE
142,ssl.gstatic.com8,142.250.81.227,GOOGLE
143,ssl.gstatic.com33,142.250.81.227,GOOGLE
144,ssl.gstatic.com26,142.250.81.227,GOOGLE
145,waa-pa.clients6.google.com1,142.251.40.106,GOOGLE
146,play.google.com5,142.250.65.206,GOOGLE
147,moodle.colgate.edu4,44.195.107.51,AMAZON-AES
148,moodle.colgate.edu2,44.195.107.51,AMAZON-AES
149,moodle.colgate.edu9,44.195.107.51,AMAZON-AES
150,moodle.colgate.edu1,44.195.107.51,AMAZON-AES
151,moodle.colgate.edu16,54.87.198.165,AMAZON-AES
152,moodle.colgate.edu13,44.195.107.51,AMAZON-AES
153,cdn.jsdelivr.net3,199.232.37.229,FASTLY
154,moodle.colgate.edu14,44.195.107.51,AMAZON-AES
155,moodle.colgate.edu11,44.195.107.51,AMAZON-AES
156,moodle.colgate.edu7,44.195.107.51,AMAZON-AES
157,moodle.colgate.edu5,54.87.198.165,AMAZON-AES
158,moodle.colgate.edu10,44.195.107.51,AMAZON-AES
159,cdn.jsdelivr.net2,199.232.37.229,FASTLY
160,moodle.colgate.edu12,44.195.107.51,AMAZON-AES
161,ajax.googleapis.com,142.250.80.74,GOOGLE
162,moodle.colgate.edu8,54.87.198.165,AMAZON-AES
163,moodle.colgate.edu18,44.195.107.51,AMAZON-AES
164,cdn.jsdelivr.net1,199.232.37.229,FASTLY
165,moodle.colgate.edu6,54.87.198.165,AMAZON-AES
166,cdn.jsdelivr.net,199.232.37.229,FASTLY
167,moodle.colgate.edu3,44.195.107.51,AMAZON-AES
168,moodle.colgate.edu17,54.87.198.165,AMAZON-AES
169,moodle.colgate.edu,54.87.198.165,AMAZON-AES
170,moodle.colgate.edu15,54.87.198.165,AMAZON-AES
171,cdn.turnitin.com,18.238.49.116,AMAZON-02
172,cdn.gradescope.com58,18.238.49.7,AMAZON-02
173,sessions.bugsnag.com,35.190.88.7,GOOGLE
174,cdn.gradescope.com43,18.238.49.7,AMAZON-02
175,cdn.gradescope.com44,18.238.49.17,AMAZON-02
176,gradescope.com1,44.233.22.27,AMAZON-02
177,cdn.gradescope.com52,18.238.49.17,AMAZON-02
178,gradescope-static-assets.s3.amazonaws.com7,52.92.163.89,AMAZON-02
179,cdn.gradescope.com20,18.238.49.67,AMAZON-02
180,web-sdk.aptrinsic.com,35.190.35.221,GOOGLE
181,cdn.gradescope.com,18.238.49.67,AMAZON-02
182,gradescope-static-assets.s3.amazonaws.com8,52.92.152.185,AMAZON-02
183,cdn.gradescope.com7,18.238.49.7,AMAZON-02
184,gradescope-static-assets.s3.amazonaws.com2,52.92.160.185,AMAZON-02
185,cdn.gradescope.com29,18.238.49.7,AMAZON-02
186,cdn.gradescope.com35,18.238.49.17,AMAZON-02
187,cdn.gradescope.com57,18.238.49.67,AMAZON-02
188,cdn.gradescope.com15,18.238.49.7,AMAZON-02
189,gradescope-static-assets.s3.amazonaws.com1,52.92.208.41,AMAZON-02
190,cdn.gradescope.com11,18.238.49.35,AMAZON-02
191,cdn.gradescope.com36,18.238.49.7,AMAZON-02
192,cdn.gradescope.com24,18.238.49.17,AMAZON-02
193,googletagmanager.com,142.251.40.200,GOOGLE
194,cdn.gradescope.com37,18.238.49.67,AMAZON-02
195,cdn.gradescope.com39,18.238.49.35,AMAZON-02
196,gradescope-static-assets.s3.amazonaws.com3,52.218.181.59,AMAZON-02
197,cdn.gradescope.com9,18.238.49.17,AMAZON-02
198,gradescope-static-assets.s3.amazonaws.com9,52.92.206.41,AMAZON-02
199,cdn.gradescope.com33,18.238.49.7,AMAZON-02
200,cdn.gradescope.com3,18.238.49.67,AMAZON-02
201,cdn.gradescope.com1,18.238.49.7,AMAZON-02
202,cdn.turnitin.com2,18.238.49.109,AMAZON-02
203,static.turnitin.com,13.35.93.68,AMAZON-02
204,cdn.gradescope.com53,18.238.49.35,AMAZON-02
205,cdn.gradescope.com22,18.238.49.7,AMAZON-02
206,cdn.gradescope.com6,18.238.49.67,AMAZON-02
207,cdn.gradescope.com46,18.238.49.7,AMAZON-02
208,cdn.gradescope.com21,18.238.49.35,AMAZON-02
209,cdn.gradescope.com45,18.238.49.67,AMAZON-02
210,cdn.gradescope.com17,18.238.49.7,AMAZON-02
211,gradescope-static-assets.s3.amazonaws.com4,52.92.251.17,AMAZON-02
212,cdn.gradescope.com18,18.238.49.35,AMAZON-02
213,cdn.gradescope.com2,18.238.49.67,AMAZON-02
214,static.turnitin.com1,13.35.93.95,AMAZON-02
215,cdn.gradescope.com25,18.238.49.7,AMAZON-02
216,cdn.gradescope.com30,18.238.49.67,AMAZON-02
217,cdn.gradescope.com51,18.238.49.7,AMAZON-02
218,cdn.gradescope.com34,18.238.49.67,AMAZON-02
219,cdn.gradescope.com56,18.238.49.35,AMAZON-02
220,cdn.gradescope.com14,18.238.49.35,AMAZON-02
221,cdn.gradescope.com55,18.238.49.17,AMAZON-02
222,cdn.gradescope.com4,18.238.49.17,AMAZON-02
223,cdn.gradescope.com26,18.238.49.7,AMAZON-02
224,cdn.gradescope.com31,18.238.49.67,AMAZON-02
225,static.turnitin.com2,13.35.93.68,AMAZON-02
226,cdn.gradescope.com5,18.238.49.67,AMAZON-02
227,gradescope-static-assets.s3.amazonaws.com5,52.92.249.185,AMAZON-02
228,cdn.gradescope.com42,18.238.49.7,AMAZON-02
229,cdn.gradescope.com10,18.238.49.17,AMAZON-02
230,cdn.gradescope.com28,18.238.49.35,AMAZON-02
231,cdn.gradescope.com38,18.238.49.17,AMAZON-02
232,gradescope-static-assets.s3.amazonaws.com6,52.92.154.217,AMAZON-02
233,cdn.gradescope.com40,18.238.49.17,AMAZON-02
234,cdn.gradescope.com19,18.238.49.35,AMAZON-02
235,cdn.gradescope.com47,18.238.49.67,AMAZON-02
236,cdn.gradescope.com48,18.238.49.35,AMAZON-02
237,cdn.gradescope.com27,18.238.49.67,AMAZON-02
238,cdn.gradescope.com23,18.238.49.17,AMAZON-02
239,cdn.gradescope.com41,18.238.49.67,AMAZON-02
240,cdn.gradescope.com8,18.238.49.35,AMAZON-02
241,cdn.gradescope.com49,18.238.49.17,AMAZON-02
242,cdn.turnitin.com1,18.238.49.51,AMAZON-02
243,google-analytics.com,142.250.80.36,GOOGLE
244,cdn.gradescope.com32,18.238.49.17,AMAZON-02
245,cdn.gradescope.com16,18.238.49.17,AMAZON-02
246,cdn.gradescope.com12,18.238.49.67,AMAZON-02
247,cdn.gradescope.com54,18.238.49.35,AMAZON-02
248,cdn.gradescope.com13,18.238.49.17,AMAZON-02
249,cdn.gradescope.com50,18.238.49.17,AMAZON-02
250,gradescope-static-assets.s3.amazonaws.com,52.92.191.177,AMAZON-02
251,gradescope.com,54.214.141.92,AMAZON-02
252,accounts.google.com1,142.251.16.84,GOOGLE
253,static.licdn.com10,152.199.24.163,EDGECAST
254,linkedin.com2,13.107.42.14,MICROSOFT-CORP-MSN-AS-BLOCK
255,linkedin.com1,13.107.42.14,MICROSOFT-CORP-MSN-AS-BLOCK
256,fonts.gstatic.com,142.250.80.67,GOOGLE
257,static.licdn.com11,152.199.24.163,EDGECAST
258,ponf.linkedin.com,144.2.9.1,LINKEDIN
259,platform.linkedin.com,23.44.133.55,AKAMAI-ASN1
