OGDomain,SupportingDomain,IPAddr,City,State,Country
Original Domain: docs.google.com, Querying Domain: fonts.gstatic.com5, IP: 216.239.58.121, Location: Secaucus, New Jersey, US
Original Domain: docs.google.com, Querying Domain: fonts.gstatic.com5, IP: 108.170.227.149, Location: Orange, New Jersey, US
Original Domain: docs.google.com, Querying Domain: fonts.gstatic.com5, IP: 192.178.106.157, Location: Chelsea, New York, US
Original Domain: docs.google.com, Querying Domain: fonts.gstatic.com5, IP: 142.251.65.101, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com23, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com23, IP: 149.43.80.3, Location: Hamilton, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com23, IP: 172.16.1.11, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com23, IP: 199.109.108.41, Location: Rock Hall, Maryland, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com23, IP: 199.109.107.101, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com23, IP: 199.109.107.202, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com23, IP: 199.109.114.18, Location: New York City, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com23, IP: 142.251.60.236, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com23, IP: 142.251.60.233, Location: Jersey City, New Jersey, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com52, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com52, IP: 149.43.80.3, Location: Hamilton, New York, US
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com52, IP: 172.16.1.11, Location: Unknown, Unknown, Unknown
Original Domain: docs.google.com, Querying Domain: ssl.gstatic.com52, IP: 199.109.108.41, Location: Rock Hall, Maryland, US
