Domain,IPAddr,City,State,Country
Filename: netflix.com.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: netflix.com.txt, IP: 172.16.1.12, Location: Unknown, Unknown, Unknown
Filename: netflix.com.txt, IP: 199.109.109.57, Location: Rock Hall, Maryland, US
Filename: netflix.com.txt, IP: 199.109.107.198, Location: Syracuse, New York, US
Filename: netflix.com.txt, IP: 199.109.107.70, Location: New York City, New York, US
Filename: netflix.com.txt, IP: 198.32.160.64, Location: Hoboken, New Jersey, US
Filename: moodle.colgate.edu.txt, IP: 54.89.189.110, Location: Ashburn, Virginia, US
Filename: moodle.colgate.edu.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: moodle.colgate.edu.txt, IP: 149.43.80.2, Location: Hamilton, New York, US
Filename: moodle.colgate.edu.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: moodle.colgate.edu.txt, IP: 172.16.1.12, Location: Unknown, Unknown, Unknown
Filename: moodle.colgate.edu.txt, IP: 199.109.109.57, Location: Rock Hall, Maryland, US
Filename: moodle.colgate.edu.txt, IP: 199.109.107.198, Location: Syracuse, New York, US
Filename: moodle.colgate.edu.txt, IP: 199.109.107.70, Location: New York City, New York, US
Filename: moodle.colgate.edu.txt, IP: 198.32.160.64, Location: Hoboken, New Jersey, US
Filename: gradescope.com.txt, IP: 35.161.191.170, Location: Boardman, Oregon, US
Filename: gradescope.com.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: gradescope.com.txt, IP: 149.43.80.3, Location: Hamilton, New York, US
Filename: gradescope.com.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: gradescope.com.txt, IP: 172.16.1.12, Location: Unknown, Unknown, Unknown
Filename: gradescope.com.txt, IP: 154.24.3.165, Location: North Syracuse, New York, US
Filename: gradescope.com.txt, IP: 154.54.87.237, Location: Albany, New York, US
Filename: gradescope.com.txt, IP: 154.54.29.173, Location: Brook Park, Ohio, US
Filename: gradescope.com.txt, IP: 154.54.7.129, Location: Chicago, Illinois, US
Filename: gradescope.com.txt, IP: 154.54.44.169, Location: Kansas City, Missouri, US
Filename: gradescope.com.txt, IP: 154.54.31.89, Location: Denver, Colorado, US
Filename: gradescope.com.txt, IP: 154.54.42.97, Location: Salt Lake City, Utah, US
Filename: gradescope.com.txt, IP: 154.54.44.141, Location: San Francisco, California, US
Filename: gradescope.com.txt, IP: 154.54.43.14, Location: San Jose, California, US
Filename: gradescope.com.txt, IP: 38.88.224.186, Location: San Jose, California, US
Filename: gradescope.com.txt, IP: 52.93.47.133, Location: San Jose, California, US
Filename: gradescope.com.txt, IP: 150.222.97.85, Location: San Jose, California, US
