index,OGDomain,IPAddr,City,State,Country
159,docs.google.com,192.178.108.21,New York City,New York,US
160,docs.google.com,216.239.62.25,Harrison,New Jersey,US
161,portal.colgate.edu,172.17.0.1,Unknown,Unknown,Unknown
162,portal.colgate.edu,149.43.80.3,Hamilton,New York,US
163,portal.colgate.edu,10.9.52.20,Unknown,Unknown,Unknown
164,portal.colgate.edu,10.9.53.103,Unknown,Unknown,Unknown
165,moodle.colgate.edu,172.17.0.1,Unknown,Unknown,Unknown
166,moodle.colgate.edu,149.43.80.2,Hamilton,New York,US
167,moodle.colgate.edu,10.9.52.10,Unknown,Unknown,Unknown
168,moodle.colgate.edu,172.16.1.12,Unknown,Unknown,Unknown
169,moodle.colgate.edu,199.109.109.57,Rock Hall,Maryland,US
170,moodle.colgate.edu,199.109.107.198,Syracuse,New York,US
171,moodle.colgate.edu,199.109.107.70,New York City,New York,US
172,moodle.colgate.edu,198.32.160.64,Hoboken,New Jersey,US
173,www.notion.so,172.17.0.1,Unknown,Unknown,Unknown
174,www.notion.so,149.43.80.2,Hamilton,New York,US
175,www.notion.so,10.9.52.10,Unknown,Unknown,Unknown
176,www.notion.so,172.16.1.12,Unknown,Unknown,Unknown
177,www.notion.so,199.109.109.57,Rock Hall,Maryland,US
178,www.notion.so,199.109.107.198,Syracuse,New York,US
179,www.notion.so,199.109.107.70,New York City,New York,US
180,www.notion.so,198.32.160.195,New York City,New York,US
181,www.notion.so,162.158.156.3,Hoboken,New Jersey,US
182,google.com,172.17.0.1,Unknown,Unknown,Unknown
183,google.com,149.43.80.2,Hamilton,New York,US
184,google.com,10.9.52.10,Unknown,Unknown,Unknown
185,google.com,172.16.1.12,Unknown,Unknown,Unknown
186,google.com,199.109.109.57,Rock Hall,Maryland,US
187,google.com,199.109.107.198,Syracuse,New York,US
188,google.com,199.109.107.70,New York City,New York,US
189,google.com,72.14.202.166,New York City,New York,US
190,google.com,142.251.60.226,Bayonne,New Jersey,US
191,google.com,192.178.107.52,New York City,New York,US
192,google.com,209.85.254.129,New York City,New York,US
193,google.com,216.239.62.194,New York City,New York,US
194,google.com,192.178.106.157,Chelsea,New York,US
195,google.com,142.250.46.195,Jersey City,New Jersey,US
196,x.com,172.17.0.1,Unknown,Unknown,Unknown
197,x.com,149.43.80.2,Hamilton,New York,US
198,x.com,10.9.52.10,Unknown,Unknown,Unknown
199,x.com,172.16.1.11,Unknown,Unknown,Unknown
200,x.com,38.140.35.201,New York City,New York,US
201,x.com,154.54.84.213,Chelsea,New York,US
202,x.com,154.54.0.142,New York City,New York,US
203,x.com,63.223.40.2,Ashburn,Virginia,US
204,x.com,63.223.40.2,Ashburn,Virginia,US
205,x.com,63.218.94.250,Sterling,Virginia,US
206,youtube.com,172.17.0.1,Unknown,Unknown,Unknown
207,youtube.com,149.43.80.2,Hamilton,New York,US
208,youtube.com,10.9.52.10,Unknown,Unknown,Unknown
209,youtube.com,172.16.1.12,Unknown,Unknown,Unknown
210,youtube.com,199.109.109.57,Rock Hall,Maryland,US
211,youtube.com,199.109.107.198,Syracuse,New York,US
212,youtube.com,199.109.107.70,New York City,New York,US
213,youtube.com,72.14.202.166,New York City,New York,US
214,youtube.com,216.239.43.62,Elizabeth,New Jersey,US
215,youtube.com,142.251.60.235,Bayonne,New Jersey,US
216,docs.google.com,172.17.0.1,Unknown,Unknown,Unknown
217,docs.google.com,149.43.80.3,Hamilton,New York,US
218,docs.google.com,172.16.1.12,Unknown,Unknown,Unknown
219,docs.google.com,199.109.109.57,Rock Hall,Maryland,US
220,docs.google.com,199.109.107.198,Syracuse,New York,US
221,docs.google.com,199.109.107.70,New York City,New York,US
222,docs.google.com,72.14.202.166,New York City,New York,US
223,docs.google.com,142.251.65.98,Mariners Harbor,New York,US
224,docs.google.com,142.251.65.95,Jersey City,New Jersey,US
225,docs.google.com,172.17.0.1,Unknown,Unknown,Unknown
226,docs.google.com,149.43.80.3,Hamilton,New York,US
227,docs.google.com,172.16.1.11,Unknown,Unknown,Unknown
228,docs.google.com,199.109.108.41,Rock Hall,Maryland,US
229,docs.google.com,199.109.107.101,New York City,New York,US
230,docs.google.com,199.109.107.202,New York City,New York,US
231,docs.google.com,199.109.114.18,New York City,New York,US
232,docs.google.com,142.251.60.236,Jersey City,New Jersey,US
233,docs.google.com,142.251.60.233,Jersey City,New Jersey,US
234,docs.google.com,172.17.0.1,Unknown,Unknown,Unknown
235,docs.google.com,149.43.80.2,Hamilton,New York,US
236,docs.google.com,172.16.1.12,Unknown,Unknown,Unknown
237,docs.google.com,199.109.109.57,Rock Hall,Maryland,US
238,docs.google.com,199.109.107.198,Syracuse,New York,US
239,docs.google.com,199.109.107.70,New York City,New York,US
240,docs.google.com,72.14.202.166,New York City,New York,US
241,docs.google.com,142.251.60.180,Mariners Harbor,New York,US
242,docs.google.com,192.178.107.42,Jersey City,New Jersey,US
243,docs.google.com,142.251.49.43,Bayonne,New Jersey,US
244,docs.google.com,142.251.49.86,New York City,New York,US
245,docs.google.com,192.178.106.157,Chelsea,New York,US
246,docs.google.com,142.250.46.195,Jersey City,New Jersey,US
247,docs.google.com,172.17.0.1,Unknown,Unknown,Unknown
248,docs.google.com,149.43.80.3,Hamilton,New York,US
249,docs.google.com,10.9.52.10,Unknown,Unknown,Unknown
250,docs.google.com,172.16.1.11,Unknown,Unknown,Unknown
251,docs.google.com,199.109.108.41,Rock Hall,Maryland,US
